SP_ENTITY_ID,SP_COMPANY_NAME,SP_TICKER,fiscal_year,iq_cash_equiv,iq_cash_oper,iq_ebit,iq_ebitda,iq_interest_exp,iq_lt_debt,iq_st_debt,iq_total_assets,iq_total_rev,pcd_total_liab,total_debt,interest_coverage,leverage,roa,ocf_to_debt,leverage_w,interest_coverage_w,roa_w,ocf_to_debt_w,distress,distress_lag1,distress_2y,default_t_plus_1
114526,Deere & Company,DE,2020,6145000.0,7483000.0,4548000.0,6533000.0,-305000.0,10085000.0,218000.0,75091000.0,35514000.0,,10303000.0,,0.1372068556817728,0.06056651263134064,0.72629331262739,0.1372068556817728,,0.06056651263134064,0.72629331262739,0,,0,0.0
114526,Deere & Company,DE,2021,7188000.0,7726000.0,7926000.0,9855000.0,-306000.0,8877000.0,1496000.0,84114000.0,43983000.0,,10373000.0,,0.12332073138835391,0.09422926028960696,0.744818278222308,0.12332073138835391,,0.09422926028960696,0.744818278222308,0,0.0,0,0.0
114526,Deere & Company,DE,2022,3767000.0,4699000.0,9763000.0,11541000.0,-263000.0,7887000.0,1019000.0,90030000.0,52563000.0,,8906000.0,,0.0989225813617683,0.10844163056758858,0.5276218279811363,0.0989225813617683,,0.10844163056758858,0.5276218279811363,0,0.0,0,0.0
114526,Deere & Company,DE,2023,5720000.0,8589000.0,13394000.0,15254000.0,-91000.0,7161000.0,1205000.0,104087000.0,61222000.0,,8366000.0,,0.08037507085418928,0.12868081508737883,1.026655510399235,0.08037507085418928,,0.12868081508737883,1.026655510399235,0,0.0,0,0.0
114526,Deere & Company,DE,2024,5615000.0,9231000.0,9411000.0,11349000.0,-166000.0,6531000.0,880000.0,107320000.0,51532000.0,,7411000.0,,0.06905516213194185,0.08769101751770406,1.2455808932667656,0.06905516213194185,,0.08769101751770406,1.2455808932667656,0,0.0,0,0.0
114526,Deere & Company,DE,2025,6340000.0,7459000.0,6612000.0,8614000.0,-247000.0,8683000.0,376000.0,105996000.0,45628000.0,,9059000.0,,0.08546548926374581,0.06237971244197894,0.8233800640247267,0.08546548926374581,,0.06237971244197894,0.8233800640247267,0,0.0,0,
114527,General Electric Company,GE,2020,36530000.0,3568000.0,-632000.0,2832000.0,-2068000.0,39869000.0,1457000.0,256211000.0,75833000.0,,41326000.0,,0.1612967436995289,-0.0024667168856918713,0.08633789865943958,0.1612967436995289,,-0.0024667168856918713,0.08633789865943958,0,,0,0.0
114527,General Electric Company,GE,2021,15770000.0,3481000.0,-70000.0,2290000.0,-1790000.0,17550000.0,97000.0,198874000.0,56469000.0,,17647000.0,,0.08873457566097127,-0.00035198165672737513,0.19725732419108064,0.08873457566097127,,-0.00035198165672737513,0.19725732419108064,0,0.0,0,0.0
114527,General Electric Company,GE,2022,15810000.0,5917000.0,3981000.0,5165000.0,-1339000.0,20320000.0,114000.0,188851000.0,29139000.0,,20434000.0,,0.10820170398885894,0.02108011077516137,0.2895664089262993,0.10820170398885894,,0.02108011077516137,0.2895664089262993,0,0.0,0,0.0
114527,General Electric Company,GE,2023,15204000.0,5189000.0,6245000.0,7424000.0,-1029000.0,19417000.0,37000.0,173300000.0,35348000.0,,19454000.0,,0.11225620311598385,0.036035776110790535,0.2667317775264727,0.11225620311598385,,0.036035776110790535,0.2667317775264727,0,0.0,0,0.0
